CLM_run,CLM_varname,output_varname,long_name,CMOR_dims,priority,NA_val,frequency,output_function,CLM_units,conversion_factor,global_cf,dimension,units
1,FSRND-FSRVD-FSDSND-FSDSVD,black_sky_albedopft,Vegtype level Broadband Albedo,longitude latitude PFT time,1,-99999,monthly,black_sky_albedo,fraction,1,1,pft,fraction
1,FAREA_BURNED,burntArea,Burnt Area Fraction,longitude latitude time,1,-99999,monthly,sum,/s,1,,global,fraction
1,CWD_C,cCwd,Carbon in Coarse Woody Debris,longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2 
1,LEAFC-LEAFC_STORAGE-LEAFC_XFER,cLeaf,Carbon in Leaves,longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2 
1,TOTLITC,cLitter,Carbon in Above-ground Litter Pool,longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2
1,TOT_WOODPRODC,cProduct,Carbon in Products of Land Use Change,longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2
1,DEADCROOTC-FROOTC-LIVECROOTC-FROOTC_STORAGE-FROOTC_XFER-LIVECROOTC_STORAGE-LIVECROOTC_XFER-DEADCROOTC_STORAGE-DEADCROOTC_XFER,cRoot,Carbon in Roots,longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2
1,TOTLITC-TOTSOMC,cSoil,Carbon in Soil (including below-ground litter),longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2
0,NA,cSoilpft,Vegtype level Carbon in Soil ,longitude latitude PFT time,2,-99999,annual,NA,NA,NA,NA,NA,kg m-2 
1,SOM_ACT_C-SOM_SLO_C-SOM_PAS_C,cSoilpools,Carbon in individual soil pools,longitude latitude Pool time,1,-99999,annual,carbon_pool,gC/m2,0.001,1.00E-15,carbon_pool,kg m-2
1,SOM_ACT_C_1m-SOM_SLO_C_1m-SOM_PAS_C_1m,cSoilpools_1m,Carbon in individual soil pools  (up to 1 meter),longitude latitude Pool time,1,-99999,annual,carbon_pool,gC/m2,0.001,1.00E-15,carbon_pool,kg m-2
1,TOTVEGC,cVeg,Carbon in Vegetation,longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2
1,TOTVEGC,cVegpft,Vegtype level Carbon in Vegetation,longitude latitude PFT time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,pft,kg m-2
1,WOODC,cWood,Carbon in Wood,longitude latitude time,1,-99999,annual,sum,gC/m2,0.001,1.00E-15,global,kg m-2 
1,TLAI,dlai,Leaf Area Index Daily,longitude latitude time,2,-99999,daily,sum,m2/m2,1,1.00E+00,global,
1,FGEV,evapo,Vegtype level Soil evaporation,longitude latitude PFT time,1,-99999,monthly,sum,W/m2,1,1,pft,W m-2 
1,QVEGT-QVEGE-QSOIL,evapotrans,Total Evapo-Transpiration,longitude latitude time,1,-99999,monthly,sum,mm/s,1,31536000,global,kg m-2 s-1
1,FCTR-FGEV,evapotranspft,Vegtype level evapotranspiration ,longitude latitude PFT time,1,-99999,monthly,sum,W/m2,1,1,pft,W m-2 
1,QSOIL,evspsblsoi,Water Evaporation from Soil,longitude latitude time,2,-99999,monthly,sum,mm/s,1,31536000,global,kg m-2 s-1
1,QVEGE,evspsblveg,Evaporation from Canopy,longitude latitude time,2,-99999,monthly,sum,mm/s,1,31536000,global,kg m-2 s-1
1,LEAFC_ALLOC,fAllocLeaf,Vegtype NPP allocation to leaves,longitude latitude pft time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,pft,kg m-2 s-1
1,FROOTC_ALLOC,fAllocRoot,Vegtype NPP allocation to Root,longitude latitude pft time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,pft,kg m-2 s-1
1,WOODC_ALLOC,fAllocWood,Vegtype NPP allocation to Wood,longitude latitude pft time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,pft,kg m-2 s-1
1,NFIX-FFIX_TO_SMINN,fBNF,Biological N fixation,longitude latitude time,2,-99999,monthly,sum,gN/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,COL_FIRE_CLOSS-SOMC_FIRE,fFire,CO2 Emission from Fire,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,SOMFIRE,fFireCsoil,CO2 Emission from Csoil due to Fire,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
